,возраст,профессия,семейное_положение,образование,кредит_дефолт,жилищный_кредит,кредит,взаимодействие,контакт_месяц,контакт_день_недели,контакт_количество,контакт_период,контакт_прошлый_количество,контакт_прошлый_исход,контакт_исход,Id
0,33,администриратор,не женат/не замужем,специальное,0,0,0,мобильный,5,пн,1,999,1,0,1,0
1,33,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,8,ср,1,999,0,-,0,1
2,30,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,5,пн,1,999,0,-,0,2
3,31,администриратор,женат/замужем,высшее,0,1,0,домашний,5,пт,2,999,0,-,0,3
4,31,сфера услуг,не женат/не замужем,среднее,0,1,0,мобильный,5,чт,1,999,0,-,0,4
5,32,техник/механик,женат/замужем,среднее,N/A,0,0,мобильный,8,пт,1,999,0,-,0,5
6,45,самозанятый,женат/замужем,специальное,0,0,1,домашний,6,вт,1,999,0,-,0,6
7,51,администриратор,разведен,специальное,0,0,1,мобильный,8,чт,1,999,0,-,0,7
8,36,менеджмент,женат/замужем,высшее,0,1,1,мобильный,11,вт,2,999,0,-,0,8
9,30,администриратор,не женат/не замужем,высшее,0,0,0,мобильный,6,пт,2,999,0,-,0,9
10,36,администриратор,не женат/не замужем,высшее,0,0,1,мобильный,11,чт,1,999,0,-,1,10
11,44,домохозяйка,не женат/не замужем,N/A,N/A,1,1,домашний,5,пт,2,999,0,-,0,11
12,30,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,пн,1,999,0,-,0,12
13,32,безработный,женат/замужем,неоконченное среднее,0,0,0,домашний,5,пт,4,999,0,-,0,13
14,48,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,8,чт,1,999,0,-,0,14
15,35,администриратор,не женат/не замужем,среднее,0,1,1,мобильный,5,чт,4,999,1,0,0,15
16,36,техник/механик,не женат/не замужем,специальное,N/A,0,0,домашний,5,ср,1,999,0,-,0,16
17,34,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,11,пн,1,999,0,-,0,17
18,61,пенсионер,женат/замужем,высшее,0,0,0,мобильный,11,пн,1,999,0,-,0,18
19,38,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,4,пт,1,999,0,-,0,19
20,59,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,3,пн,2,999,0,-,1,20
21,41,менеджмент,женат/замужем,среднее,0,1,0,мобильный,5,пн,2,999,0,-,0,21
22,49,техник/механик,женат/замужем,высшее,0,1,0,мобильный,5,ср,1,999,1,0,0,22
23,34,сфера услуг,женат/замужем,среднее,0,0,0,мобильный,7,ср,11,999,0,-,0,23
24,27,менеджмент,не женат/не замужем,высшее,0,1,1,мобильный,4,пн,4,999,1,0,0,24
25,38,техник/механик,женат/замужем,специальное,0,1,0,домашний,5,чт,2,999,0,-,0,25
26,31,техник/механик,не женат/не замужем,специальное,0,1,0,домашний,4,пн,12,999,0,-,0,26
27,56,сфера услуг,женат/замужем,среднее,0,0,0,домашний,11,пн,1,999,0,-,0,27
28,49,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,5,чт,1,999,0,-,0,28
29,24,сфера услуг,не женат/не замужем,среднее,0,N/A,N/A,домашний,5,ср,1,999,0,-,0,29
30,54,самозанятый,женат/замужем,высшее,0,1,0,мобильный,8,пн,2,999,0,-,0,30
31,39,администриратор,не женат/не замужем,среднее,0,1,1,мобильный,11,вт,2,999,1,0,0,31
32,49,менеджмент,женат/замужем,высшее,0,1,0,домашний,6,пн,2,999,0,-,0,32
33,50,менеджмент,женат/замужем,неоконченное среднее,0,0,0,мобильный,10,пн,2,6,2,0,0,33
34,35,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,7,пт,2,999,0,-,0,34
35,28,рабочий,женат/замужем,среднее,0,N/A,N/A,мобильный,5,чт,2,999,0,-,0,35
36,35,администриратор,женат/замужем,среднее,N/A,0,0,мобильный,5,пт,1,999,0,-,1,36
37,30,безработный,не женат/не замужем,неоконченное среднее,0,0,0,мобильный,4,ср,4,999,0,-,1,37
38,59,пенсионер,разведен,неоконченное среднее,N/A,1,0,домашний,5,вт,1,999,0,-,0,38
39,36,администриратор,женат/замужем,высшее,0,0,1,мобильный,5,пн,1,999,0,-,0,39
40,48,рабочий,разведен,неоконченное среднее,0,1,0,мобильный,11,пт,1,999,1,0,0,40
41,31,рабочий,не женат/не замужем,среднее,0,1,1,домашний,6,пн,3,999,0,-,0,41
42,58,домохозяйка,женат/замужем,неоконченное среднее,0,0,0,домашний,5,ср,2,999,0,-,1,42
43,24,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,6,ср,7,999,1,0,0,43
44,41,техник/механик,разведен,неоконченное среднее,0,1,0,домашний,5,чт,1,999,0,-,0,44
45,29,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,5,ср,1,999,1,0,0,45
46,47,техник/механик,женат/замужем,неоконченное среднее,0,1,0,домашний,6,пт,2,999,0,-,0,46
47,36,техник/механик,не женат/не замужем,специальное,N/A,0,0,мобильный,5,ср,1,999,0,-,0,47
48,34,рабочий,женат/замужем,высшее,0,0,1,мобильный,5,пт,4,999,0,-,0,48
49,57,техник/механик,женат/замужем,специальное,0,0,0,мобильный,11,пн,2,999,0,-,0,49
50,25,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,5,чт,5,999,0,-,0,50
51,42,администриратор,женат/замужем,высшее,0,0,0,домашний,5,вт,1,999,0,-,0,51
52,36,пенсионер,женат/замужем,среднее,0,1,0,мобильный,4,вт,6,999,0,-,0,52
53,33,администриратор,женат/замужем,высшее,0,0,0,мобильный,11,ср,1,999,1,0,0,53
54,36,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,ср,2,999,0,-,0,54
55,36,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,ср,2,999,0,-,0,55
56,52,рабочий,не женат/не замужем,N/A,N/A,0,0,домашний,5,пт,2,999,0,-,0,56
57,32,техник/механик,женат/замужем,высшее,N/A,0,0,мобильный,8,пн,5,999,0,-,1,57
58,60,администриратор,женат/замужем,среднее,0,1,0,домашний,5,пт,2,999,0,-,0,58
59,47,рабочий,женат/замужем,неоконченное среднее,N/A,N/A,N/A,домашний,6,ср,8,999,0,-,0,59
60,31,рабочий,не женат/не замужем,неоконченное среднее,N/A,1,0,мобильный,7,пн,3,999,0,-,0,60
61,52,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,8,ср,2,999,0,-,0,61
62,52,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,ср,1,999,0,-,0,62
63,38,техник/механик,женат/замужем,неоконченное среднее,0,0,0,мобильный,11,пн,1,999,0,-,0,63
64,52,менеджмент,разведен,высшее,0,0,0,домашний,6,вт,1,999,0,-,0,64
65,25,администриратор,не женат/не замужем,среднее,0,0,0,мобильный,7,вт,2,999,0,-,1,65
66,44,рабочий,не женат/не замужем,неоконченное среднее,N/A,1,1,домашний,5,пн,1,999,0,-,0,66
67,42,рабочий,женат/замужем,неоконченное среднее,0,1,0,домашний,6,пн,1,999,0,-,1,67
68,31,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,6,вт,2,999,0,-,0,68
69,58,самозанятый,женат/замужем,высшее,0,0,0,мобильный,8,пт,3,999,0,-,1,69
70,29,техник/механик,не женат/не замужем,высшее,0,1,1,мобильный,5,чт,2,999,0,-,0,70
71,29,администриратор,не женат/не замужем,высшее,0,0,0,мобильный,5,чт,1,999,0,-,0,71
72,35,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,пт,2,999,1,0,0,72
73,53,менеджмент,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,пт,7,999,0,-,0,73
74,75,пенсионер,женат/замужем,N/A,0,0,0,домашний,8,чт,2,999,4,0,1,74
75,28,администриратор,не женат/не замужем,среднее,0,0,1,мобильный,7,пт,12,999,0,-,0,75
76,36,сфера услуг,женат/замужем,среднее,0,1,0,мобильный,7,вт,6,999,0,-,0,76
77,50,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,вт,2,999,0,-,0,77
78,51,техник/механик,женат/замужем,специальное,0,1,1,мобильный,7,вт,4,999,0,-,0,78
79,47,рабочий,женат/замужем,специальное,N/A,0,1,домашний,5,вт,2,999,0,-,0,79
80,30,техник/механик,женат/замужем,специальное,0,1,0,домашний,5,пт,1,999,0,-,0,80
81,35,техник/механик,не женат/не замужем,специальное,0,0,0,мобильный,8,пн,1,999,0,-,0,81
82,63,пенсионер,женат/замужем,специальное,0,1,0,мобильный,4,ср,2,999,0,-,1,82
83,37,рабочий,не женат/не замужем,неоконченное среднее,0,0,0,мобильный,7,вт,1,999,0,-,0,83
84,44,сфера услуг,женат/замужем,среднее,0,1,0,мобильный,5,чт,5,999,0,-,0,84
85,39,администриратор,женат/замужем,высшее,0,1,0,мобильный,5,пн,7,999,0,-,0,85
86,34,N/A,женат/замужем,неоконченное среднее,N/A,1,0,домашний,5,чт,1,999,0,-,0,86
87,24,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,4,вт,3,999,0,-,0,87
88,37,администриратор,женат/замужем,высшее,0,1,1,мобильный,8,чт,2,999,0,-,0,88
89,31,сфера услуг,разведен,среднее,0,0,0,мобильный,4,пн,2,999,0,-,0,89
90,33,рабочий,не женат/не замужем,неоконченное среднее,0,0,0,домашний,6,пт,18,999,0,-,0,90
91,35,администриратор,женат/замужем,среднее,0,1,1,мобильный,5,пт,1,999,0,-,0,91
92,21,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,6,ср,1,999,0,-,0,92
93,53,менеджмент,женат/замужем,высшее,0,1,0,мобильный,11,вт,2,999,1,0,1,93
94,29,рабочий,не женат/не замужем,неоконченное среднее,0,0,0,домашний,6,пн,1,999,0,-,0,94
95,27,самозанятый,не женат/не замужем,высшее,0,0,0,мобильный,5,вт,1,999,0,-,0,95
96,48,рабочий,женат/замужем,среднее,0,0,0,мобильный,5,чт,2,3,1,1,0,96
97,40,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,пт,1,999,0,-,0,97
98,41,сфера услуг,женат/замужем,неоконченное среднее,0,1,0,домашний,6,вт,1,999,0,-,0,98
99,33,рабочий,женат/замужем,неоконченное среднее,N/A,1,1,домашний,5,ср,2,999,0,-,0,99
100,29,самозанятый,не женат/не замужем,высшее,0,1,0,мобильный,11,пн,2,999,0,-,0,100
101,30,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,5,пн,2,999,1,0,0,101
102,32,менеджмент,не женат/не замужем,высшее,0,1,0,мобильный,5,вт,3,999,0,-,0,102
103,29,техник/механик,не женат/не замужем,высшее,0,0,1,домашний,7,ср,2,999,0,-,0,103
104,37,техник/механик,не женат/не замужем,высшее,0,0,0,домашний,5,вт,1,999,0,-,0,104
105,44,техник/механик,не женат/не замужем,высшее,0,1,0,мобильный,8,ср,3,999,0,-,1,105
106,18,учащийся,не женат/не замужем,среднее,0,0,0,мобильный,5,пт,1,999,1,0,1,106
107,34,администриратор,женат/замужем,высшее,N/A,N/A,N/A,домашний,7,ср,2,999,0,-,0,107
108,29,менеджмент,не женат/не замужем,высшее,0,0,0,домашний,5,пт,2,999,0,-,0,108
109,48,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,6,пт,1,999,0,-,0,109
110,41,техник/механик,женат/замужем,высшее,0,1,0,мобильный,8,пн,2,999,0,-,0,110
111,27,администриратор,разведен,среднее,0,1,0,мобильный,5,пн,4,999,0,-,0,111
112,40,сфера услуг,женат/замужем,среднее,0,0,0,домашний,5,вт,1,999,0,-,0,112
113,52,администриратор,женат/замужем,высшее,0,1,0,мобильный,8,пн,3,4,2,1,1,113
114,44,менеджмент,не женат/не замужем,среднее,0,0,0,мобильный,5,пн,1,999,0,-,0,114
115,29,техник/механик,разведен,специальное,0,0,0,мобильный,11,чт,1,999,1,0,0,115
116,39,менеджмент,женат/замужем,N/A,0,0,0,мобильный,11,вт,1,999,0,-,0,116
117,24,учащийся,не женат/не замужем,высшее,0,1,0,мобильный,5,ср,1,999,0,-,0,117
118,38,техник/механик,женат/замужем,специальное,0,1,0,мобильный,11,пн,2,999,0,-,0,118
119,31,техник/механик,женат/замужем,специальное,0,0,0,домашний,6,ср,2,999,0,-,1,119
120,30,администриратор,женат/замужем,высшее,0,0,0,мобильный,11,пн,2,999,0,-,0,120
121,58,менеджмент,женат/замужем,высшее,N/A,0,0,мобильный,7,пн,2,999,0,-,0,121
122,37,администриратор,не женат/не замужем,высшее,0,1,0,домашний,5,вт,2,999,0,-,1,122
123,41,администриратор,женат/замужем,неоконченное среднее,N/A,0,0,домашний,7,пт,2,999,0,-,0,123
124,54,менеджмент,женат/замужем,высшее,0,1,0,мобильный,4,чт,1,999,0,-,0,124
125,30,администриратор,женат/замужем,высшее,0,1,0,мобильный,8,вт,1,999,0,-,0,125
126,37,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,7,чт,4,999,0,-,0,126
127,44,техник/механик,женат/замужем,специальное,0,1,0,домашний,6,пт,2,999,0,-,0,127
128,52,самозанятый,не женат/не замужем,высшее,N/A,1,1,домашний,5,пт,2,999,0,-,0,128
129,55,администриратор,женат/замужем,неоконченное среднее,0,0,0,мобильный,4,пт,1,999,0,-,0,129
130,47,администриратор,не женат/не замужем,высшее,0,0,0,мобильный,10,пн,3,999,0,-,1,130
131,49,рабочий,женат/замужем,N/A,0,0,0,домашний,5,пн,1,999,0,-,0,131
132,50,менеджмент,женат/замужем,среднее,N/A,0,0,домашний,6,пн,17,999,0,-,0,132
133,49,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,домашний,5,ср,1,999,0,-,0,133
134,45,сфера услуг,женат/замужем,среднее,0,0,0,мобильный,7,чт,1,999,0,-,0,134
135,55,администриратор,женат/замужем,среднее,0,N/A,N/A,домашний,6,пт,1,999,0,-,0,135
136,59,администриратор,женат/замужем,высшее,0,1,0,мобильный,5,пт,2,999,1,0,0,136
137,36,администриратор,не женат/не замужем,высшее,0,0,1,мобильный,8,чт,4,999,0,-,0,137
138,34,менеджмент,женат/замужем,неоконченное среднее,0,1,0,мобильный,5,вт,5,999,0,-,0,138
139,36,администриратор,женат/замужем,среднее,0,1,0,мобильный,11,чт,5,999,0,-,0,139
140,31,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,8,чт,1,999,0,-,0,140
141,36,рабочий,женат/замужем,специальное,N/A,1,1,домашний,6,чт,3,999,0,-,0,141
142,46,сфера услуг,разведен,неоконченное среднее,0,0,0,мобильный,5,пт,7,999,0,-,0,142
143,37,сфера услуг,женат/замужем,среднее,0,0,0,домашний,5,пн,2,999,1,0,0,143
144,53,предприниматель,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,8,пт,1,999,0,-,0,144
145,36,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,11,вт,3,999,0,-,0,145
146,28,техник/механик,не женат/не замужем,среднее,0,0,0,мобильный,7,чт,7,999,0,-,0,146
147,30,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,11,пт,2,999,0,-,0,147
148,32,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,вт,2,999,0,-,0,148
149,32,администриратор,не женат/не замужем,высшее,0,0,0,домашний,7,ср,5,999,0,-,0,149
150,27,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,вт,1,999,1,0,0,150
151,45,техник/механик,женат/замужем,среднее,0,1,0,мобильный,8,чт,1,999,0,-,0,151
152,34,техник/механик,не женат/не замужем,высшее,0,1,0,мобильный,8,ср,1,999,0,-,0,152
153,39,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,ср,4,999,0,-,0,153
154,31,менеджмент,женат/замужем,высшее,0,1,1,мобильный,8,чт,1,999,0,-,0,154
155,42,администриратор,женат/замужем,высшее,0,1,0,мобильный,8,вт,1,999,0,-,0,155
156,29,предприниматель,женат/замужем,специальное,0,0,0,мобильный,7,пт,2,999,0,-,0,156
157,40,безработный,разведен,высшее,0,1,0,мобильный,7,ср,2,999,0,-,1,157
158,37,менеджмент,женат/замужем,высшее,N/A,0,0,мобильный,8,пн,1,999,0,-,0,158
159,27,рабочий,не женат/не замужем,среднее,0,1,0,домашний,7,ср,7,999,0,-,0,159
160,43,рабочий,женат/замужем,N/A,N/A,0,0,мобильный,5,пн,6,999,0,-,0,160
161,33,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,7,чт,11,999,0,-,0,161
162,38,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,мобильный,4,пт,1,999,0,-,0,162
